=============PAGESTART=1,PAGEEND=10
【阿肥】	a33 bui53	胖子〈谑〉▷～伯|～奶|～姐|～嫂|～弟。
【八曾】	beik21 zeing53	曾经▷老板～给讲过（老板曾经告诉过他）。
【{八,仈}症】	beik5 zeing213	识时务、懂规矩▷伊会～自家伓做就好（他如果识时务，自己不干了就好）|会～者钱着出（懂规矩的这钱就要出）。
【八字骹】	beik21 zi55 a55	走路时脚尖朝外的步态。
【{八,仈}字伯】	beik21 zi53 wak24	谑指略有文化又好卖弄的人。
【逼】	beik24	穷困▷厝𠲥野～（家里很穷）。
【必】	beik24	裂开▷硋缽～去（缽头裂了）|做旱田都曝～去（天大旱，田地都晒裂了）！
【煏】	beik24	①熬（油）▷肥肉掏～油（肥肉拿去熬油）。②（葱蒜等放在油锅中）煸炒。
【百子炮】	beik21 zy55 wau213	串在一起连响的小炮仗。
【别】	beik5	（代）可直接用于量词前，表示“其他的”、“另外的”▷～隻（另一个）|～本书（另一本书）|～日（改日）。
【别块】	beik21 dooy213	别处，别的地方▷去～（去别的地方）|～来其（外地来的）。也说［别位］、［别位处］。
【别块侬】	beik21 deoy55 neoyng53	外地人。
【别位】	beik21 ui242	同［别块］。也说［别位处］beik21ui53jeoy213。
【拔】	beik5	①滚开、拉倒▷汝讲话{𫧃,儥}中听，给我～去（你说话不中听，给我滚开吧）！也说［拔透］［拔透透］。②拉▷～二胡（拉二胡）。
【拔直】	beik5 dik5	①躺下伸直躯体▷穿骹，撸倒，～〈俗〉（伸腿、躺下还要伸直身体，喻得寸进尺）。②喻死亡▷着遘我～去，汝乍会啼（要到我死了，你才会哭）。
【拔阄】	beik5 (bi55) kau55	抓阄儿。
【拔老鼠尾】	beik5 (bi55) lo21 jy24 mui33	抓阄的一种。常用于合伙聚餐摊派款项的一种办法。每人选认一线条。线的末端写明数字，据此摊派款数。▷昨暝几隻侬～，我出4块，别侬出{固,故}価（昨夜几个人抓阄摊派，我出 4 元钱，别人出得更多）。
【拔索尾】	beik5 (bi55) so53 mui33	讨好，附和〈贬〉▷汝做头，我来～（你为首，我来附和你）|伊专做～其事（他专干讨好附和别人家的事）。
【拔透】	beik5 tau21	去你的，同［拔］①，程度更深、更强。
【拔透透】	beik5 (bi55) tau53 lau213	同［拔］①程度比［拔］、［拔透］更强烈。
【拔节】	beik21 zaik24	喻指小孩发育期，身高长得特别快▷我囝𠲥～，去年暝买其裤都{𫧃,儥}颂其了（我的儿子正处发育期，去年买的裤子已经都没法儿穿了）。
【拔钱】	beik5 (bi55) zieng53	垫款▷我先～替伊买乇（我先垫款替他买东西）。也说［捭钱］ bi44zieng53。
【斑】	being55	出现斑点▷衣裳{𫷾,撄}箱𠲥～去（衣服放在箱里出霉斑了）！
【爿】	being53	①（量）整体的一半▷店半～（半间店）|饼半～（半块饼）|股穿跋两～（屁股摔成两片）。②字的偏旁▷“猴耳～”（双耳旁）。
【朋友哥】	being21 ngiu21 o55	①小哥儿，对小儿的称呼。②哥儿们。
【反】	being33 (baing213)	翻动▷乇{𫷾,撄}手𠲥～过来，～过去（东西放在手上翻过来，翻过去）。
【板】	being33	木板。也说［板板］。
【板板】	being33 being33	同［板］。
【板棚】	being21 mang53	地板、木质楼板▷楼顶～腐去（楼上地板烂了）。也说［地棚］di44wang53、［地棚板］di53wang21meing31。
【板股板豆干】	being24 ngu33 being21 nau55 uang55	儿童的一种游戏，北京叫“翻股”。
【板𫥵】	being55 nie213	木板▷使～铺楼棚（用木板铺楼板）。
【板锄】	being21 ny53	锄头的一种，刀面狭长，适用于刨山地。
【办亲】	being55 jing55	陪嫁，嫁妆▷只架橱是伊妈～其（这个橱子是奶奶当年的嫁妆）。
【办酒囝】	being21 jiu24 iang33	儿童做办酒席的游戏。也说［做办办］。
【办办】	being21 maing242	儿童游戏，模仿大人办酒席▷伲囝做～，真有味（小孩儿做办酒席的游戏很有意思）。
【办酒】	being53 ziu33	办酒席▷～请侬客（办酒席请客）。
【踣】	beo55	斜踢（毽子等），使飞远▷伊蜀骹～过去，毽～野远去（他一脚斜踢过去，毽子飞得老远去）。
【⿹气咅】	beo53	（气体）冒出▷机器管管裡势气～出来（机器管子里气冒出来）。
【北囝】	beoyk24 giang33	北方佬〈贬〉。
【捭】	bi55	拔、拉▷～蜀条（拔一条）|～索（拉绳子）。
【焷】	bi53	往热锅加（少许水）▷菜炒差不多就着～仂囝水里去（蔬菜炒得差不多就要加少许水进去）。
【脾土】	bi33 lu33	①脾胃▷～{𫧃,儥}好（脾胃不好）。②成了习惯▷伊偷食有～去（他偷吃成了习惯了）！
【脾花】	bi33 ua55	心情，心花▷只两日我姨～野开（这两天我阿姨很开心）。
【比】	bi33	①对比，比较▷衣裳～看有偌夥大（衣服对比看看有多大）。②仿制、模仿▷这双鞋样掏去～（这双鞋样拿去模仿）。③指向，指示▷手～自家鼻𠲥（手指着自己鼻子）|汝～我看是底隻（你指给我看看是哪一个）。
【比论】	bi55 looung242	比如，比方▷～讲（比如说）。
【比霸】	bi55 wa213	炫耀▷汝伓使～，我无耀（你别炫耀，我不羡慕）。
【比并】	bi55 wiang242	对比，比较▷好呆～囇就会{八,仈}（好坏一比较就能分晓）。
【篦梳】	bi55 leo55	篦子。
【必桃包】	bik24 to33 wau55	桃形的甜馒头，尖儿上绽裂开。
【笔车】	bik21 cia55	卷笔刀，用于削铅笔。也说［铅笔车］yong21mik21cia44。
【笔挫】	bik5 coo213	橡皮（文具）。也说“铅笔锉”yong21mik5co213。
【笔达尺】	bik21 lak5 cuok24	也叫［米达尺］mi21lak5cuok23。
【笔錔管】	bik21 lak24 guong33	①同［笔錔］。②喻指窄的裤腿。
【笔錔】	bik5 tak24	笔帽，笔套。也说［笔錔管］。
【笔撑】	bik5 tang213	写字时垫在纸下的衬板。
【萆】	bik5	（量）个▷蜀～台历（一个台历）|两～平平大（两个一般大）。
【擗】	biak24	①归并，一边倒▷军队～蜀边去（军队倒向一边去）。②倒伏▷粙～田堘𠲥（稻子倒伏在田埂上）。
【壁裡】	bia53 lie33	床铺靠墙的边▷汝“会惊，睏～”〈熟〉（你会害怕就睡在床靠里一面吧）。
【壁枋】	bia55 wung55	旧式木屋的隔墙木板▷许扇～腐去了（那扇板墙腐烂了）！
【啪】	biak5	打耳光的拟声词▷“～”蜀声，乞摔蜀掌（“啪”的一声被打了一巴掌）！
【摒】	biang213	①倾倒（dau51）▷蜀仂囝乇，碗～盘，盘～碗（一点儿东西，由碗倒到盘里，由盘又倒到碗里）。②并入▷许间店，给～过来（把那间店合并过来）。
【摒斗】	biang53 dau33	倒空放钱的抽屉▷今旦生意野呆，～乍几块钱（今天生意很不好，钱柜全倒光才几元钱）。
【摒底】	biang53 de33	倾囊、倒光▷我{俪,㑚}长几块钱，～乞汝（我只剩几块钱，倾囊给你）。
【摒家】	biang55 ga55	全家出动▷乡下侬食酒多数～去（乡下人赴宴大多是全家出动）。
【裨】	bie55	拼补使加大▷衫嫩～大仂囝（衫儿小了，拼补大些）。
【躃】	bie213	跑▷～来～去（跑来跑去）|真会～（很会跑）。
【躃躃搦】	bie21 wie55 niek5	捉迷藏。也说［躃躃搦搦］bie21wie21nie44niek5。
【避脸】	bie53 lieng33	不显露，隐蔽▷屈这块住～，无侬来吵（在这儿住隐蔽些，没有人来吵闹）。也说［避里］ bie53lie31。
【避眼】	bie53 ngang33	避人耳目▷者事计着做～仂囝（这事要做得避人耳目些）。
【鳖裙】	biek21 gung53	鳖甲边缘的软壳部分▷～真好食（鳖的软甲部分很好吃）！
【蹩耳】	biek5 ngei242	下象棋的术语，支“士”叫～▷汝～，我𠟶“卒”（你支“士”我拱“卒”）。
【鞭鞭】	bieng33 bieng55	鞭子。
【边边】	bieng33 bieng55	边儿、边缘▷介车蜀条～（再缝上一条边儿）|伓通徛～𠲥，逿沟𠲥去不得了（别站在边缘，掉到沟里不得了）！
【边边角角】	bieng33 bieng33 geoyk21 gooyk24	边沿角落地带▷厝起～𠲥，野伓好讨（房子盖在边沿角落，非常不好找）。
【边兜】	bieng55 nau55	旁边，边沿▷伊徛～（他站在旁边）|桶桶～缺蜀缺去（桶子的边沿缺了个口子了）。
【扁柿】	bieng55 kei242	①扁柿子▷圆梨～〈谚〉（梨子圆的好，柿子扁的好）。②喻形扁平的脸形▷伊生共～偌（她的脸长得扁平）。
【扁扁喙】	bieng21 mieng55 jui213	①嘴巴瘪瘪的▷者诸侬囝～生得野呆（这女孩嘴巴瘪瘪的长得难看）。②鸭子的别称。
【扁担刀】	bieng21 nang55 no55	作为武器使用的扁担▷伊使～拍侬（他用扁担打人）。
【扁箱】	bieng21 nuong55	一种只有普通箱子一半高的扁形箱子。
【扁肉】	bieng21 nyk5	馄饨。
【扁肉店】	bieng21 ny53 daing213	以卖馄饨为主的小食店。
【扁肉担】	bieng21 nyk53 dang213	卖馄饨的肩挑担子。
【扁肉燕】	bieng21 ny53 ieng213	一种瘦肉和芡粉做皮的馄饨。也叫［燕］ieng213。
【扁肉麵】	bieng21 nyk53 mieng242	和馄饨一起煮的面条儿▷～蜀碗偌夥钱（馄饨面一碗多少钱）？
【扁鼻】	bieng55 pei213	扁平鼻子。
【扁⿰米齐】	bieng21 ze55	喻指扁平的脸盘儿。
【蝙蝠蛇】	bieng21 nguk21 sie53	眼镜蛇。
【变面】	bieng53 meing213	翻脸▷汝{总款,这样款}做，我会～（你这样干，我就翻脸不认人了）。
【变相】	bieng53 nuong213	想方设法地捣腾▷汝这隻侬野会～，无偌夥钱会买这価乇（你这人很会捣腾，没多少钱能买这么多东西）！
【变死】	bieng53 si33	变得极坏▷伊表弟～去，爸奶都{𫧃,儥}认得去（他表弟变得极坏，连父母都不认了）！
【便便】	bieng242 bieng242	现成的▷汝大家饭煮～偌，汝落班就食（你婆婆饭煮好，你下班就吃现成的）。
【便箸】	bieng53 neoy242	招呼客人用餐的用语▷菜{𫧃,儥}好，～～（菜不好，随便吃吧）。
【便益】	bieng53 ngeik24	便利▷粪扫除去～行车（垃圾清除了便利行车）。
【辫辫】	bieng21 bieng242	辫子。
【槟榔芋】	bing53 loung21 nguo242	一种良种芋头，个大质松，是福州甜食“芋泥”的原料。
【冰冻冻】	bing21 neoyng53 nooyng213	同［冰霜冻］。
【冰霜冻】	bing21 noung53 nooyng213	冰冷▷快去食，饭都～去了（快去吃，饭都冰凉了）。也说［冰冻冻］。
【兵船】	bing55 nung53	旧称军舰。
【兵哥】	bing55 ngo55	旧时对土兵的贬称。
【瓶瓶】	bing21 bing53	瓶子。
【瓶瓶塞】	bing21 ming21 seik24	瓶塞。
【评话】	bing21 ngua242	福州方言说书。单人高台表演，道具有摺扇、醒木和单面钹，以说为主，间有韵文吟诵；坊间有专设书场，也可在街头巷尾演出，是传统的方言艺术。
【评话伬】	bing21 ngua55 cie55	福州方言说书时穿插一些清唱的表演▷今旦～，讲也好、唱也好（今天说唱结合的表演，说得好，唱得也好）。也说［伬唱］cie53juong213。
【评话调】	bing21 ngua53 liu242	福州方言说书中吟诵韵文的腔调。
=============PAGESTART=21,PAGEEND=30
【评话先生】	bing21 ngua21 ling55 nang55	福州方言说书的艺人。
【评话场】	bing21 ngua55 luong53	用福州话说书的场所。分固定的和临时的，有时就在街头摆张桌子，听众站或坐着听。
【滮】	biu55	小股水喷出▷水龙头松去，水～出来（水龙头松了，水喷出来）。也说  bie31liu44。
【标会】	biu53 hui242	一种民间自发的高利贷款方式，与会者按期交纳会款，每一期以投标方式决定谁先得会款。
【丧】	biu33	服用药物后大量出汗，发散▷甘和茶真～，伓通多食（甘和茶善发散不可多服）。
【婊子囝】	biu21 jy24 iang33	婊子养的〈詈〉。
【標】	biu24	额外增加▷讲好五十隻了，蒋讲复～出三隻来（说好了五十个，怎么又额外冒出个来）?
【褒】	bo55	①说好话▷～几句伊就欢喜去（给说几句好话，他就高兴了）。②用爱抚的话语和行动平定小孩的哭闹▷伲囝啼野䀪了快去～睏（小孩哭很久了，快去哄一下）。
【褒比】	bo53 wi33	说奉承话，灌迷魂汤▷伊讲几句～其话汝就欢喜（他说几句奉承话你就高兴）。
【菠菠】	bo33 wo55	生长在清明前后的一种草，汁可制清明粿。▷真鸟囝，啄～，三岁孩儿会唱歌〈谣〉（小鸟儿，啄菠菠草，三岁小孩会唱歌）。
【菠菠粿】	bo21 wo53 ui33	清明节做的米粿，豆沙或甜萝卜丝做馅汁。皮里和有菠菠草，呈绿色。旧俗用于祭祀祖宗扫墓。
【婆奶】	bo33 ne33	接生婆。
【保险批】	bo21 ieng21 mie55	旧称挂号信。
【保惜】	bu55 luok24	爱惜、爱护▷汝着～身体（你要爱护身体）。
【保佑】	bo53 ou242	①保佑▷菩萨～（菩萨保佑）。②祈求保佑▷我～汝生意兴隆（我祈求你生意兴隆）。
【宝圆】	bo21 uong53	桂圆。
【宝圆干】	bo24 uong33 gang55	桂圆干。
【报亡】	bo55 uong53	死人入殓前的法事▷伊郎奶死去做～，伊{固,故}去客遛（他妈死了在做入殓前的法事，他还去玩儿）！
【簸当】	bo33 loung55	滚动后粘上（粉尘等）▷～𠲥蜀身（滚得一身土）
【簸当𥻵】	bo21 loung55 ni53	滚上黄豆面儿的糯米团。多在冬至日吃。
【布施】	bo53 lie213	①施舍〈贬〉▷～乞伊两个钱（施舍给他些钱）。②幸亏的反说，用于讥讽▷～伊{固,故}是蜀隻侬（亏他还是独身一个人）。③报应▷～伊后世做眚盲（报应他来生当瞎子）。也写作  。
【抱倒】	bo53 lo33	摔交。
【抱头】	bo53 tou53	一种民俗，死人人殓时要由孝男抱住死者的头部。
【抱围】	bo55 ung53	（量）双臂合围的圆周▷者杜柱有蜀～大（这柱子有一抱那么粗）。
【抱稳】	bo53 ung33	稳当保险▷{总款,这样款}做比较～（这样干比较稳当）。
【暴乍】	bo53 ja242	①突然▷“～富欺负侬”〈谚〉（暴发户好欺负人）。②初次▷者事～做，真懵（这事初次干，很慌乱）。也说  。
【泰乍一蜀】	bo21 ja24 ik21 suok5	同  ▷～看见者场面会大惊（初次看见这种场面非常害怕）。
【嚗】	booh24	用脏话骂人▷伓通讲者话，伊听见会大～（别说这话，他听见了会用脏话大骂）。
【嚗喙】	bo53 jui213	破口大骂▷昨暝伊依哥𠲥～，伊屈旁边笑（昨天他哥哥在破口骂人，他在旁边笑）。
【泊】	boh5	①栖止▷蚂蚨～草𠲥（蜻蜒栖止在草上）。②偎依▷伲囝～伊郎奶身边（小孩儿紧偎在他娘身旁）。③停靠▷船～渡头船停靠在码头上）。
【薄哩哩】	bo21 li55 li55	极薄▷者衣裳～无经颂（这衣服薄极了，不耐穿）。也说po21lia44lia44。
【穙】	boh5	一种房产租赁形式，定期租用，预先付清全部租金▷这间店～偌夥钱（这间店租多少钱）?
【孵】	bou242	（量）窝▷蜀～鸡囝（一窝小鸡儿）。
【复】	bou242	（副）又▷伊今旦～来了（他今天又来了）。|～长～大（又长又大）。
【腹】	bouk24	（量）泡、堆▷蜀～牛屎（一堆牛屎）|拉蜀～尿（拉一泡尿）。
【抔】	bouk24	①双手捧，捧▷～蜀～涂（捧起一捧泥土）。②提（裤子）。
【驳扣】	bouk5 kau213	摁扣儿，子母扣儿。又说   dak5kau213。
【爆肚】	bouk5 dou242	①鱼类不鲜肚肠暴开▷带鱼{𫧃,儥}鲜～其（带鱼不新鲜，鱼肚都暴开了）。②败露▷贪污其事计，总会～（贪污的事总会败露）。
